command_id,sequence_number,message_id,originator_addr,recipient_addr,short_message,src_ip,src_port,dst_ip,dst_port,timestamp
0x80000015,2400,,,,,35.200.227.177,14011,10.51.3.123,57044,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,172.17.0.47,57044,29/06/25 08:02:06
0x00000015,2400,,,,,172.17.0.47,57018,35.200.227.177,14011,29/06/25 08:02:06
0x00000015,2400,,,,,10.51.3.123,57018,35.200.227.177,14011,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,10.51.3.123,57052,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,172.17.0.47,57052,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,10.51.3.123,57060,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,172.17.0.47,57060,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,10.51.3.123,56996,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,172.17.0.47,56996,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,10.51.3.123,57074,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,172.17.0.47,57074,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,10.51.3.123,57018,29/06/25 08:02:06
0x80000015,2400,,,,,35.200.227.177,14011,172.17.0.47,57018,29/06/25 08:02:06
0x00000015,2393,,,,,172.17.0.45,57938,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57938,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57928,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57904,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57928,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57904,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57920,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57920,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57950,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57922,35.200.227.177,14010,29/06/25 08:02:09
